team,opponent,wins
D-backs,D-backs,0
D-backs,Giants,6
D-backs,Braves,5
D-backs,Mets,5
D-backs,Orioles,0
D-backs,Blue Jays,1
D-backs,Red Sox,0
D-backs,Pirates,1
D-backs,Cubs,2
D-backs,Cardinals,4
D-backs,White Sox,0
D-backs,Tigers,0
D-backs,Reds,3
D-backs,Phillies,4
D-backs,Indians,0
D-backs,Rangers,0
D-backs,Rockies,10
D-backs,Brewers,3
D-backs,Astros,1
D-backs,Mariners,0
D-backs,Angels,0
D-backs,Athletics,0
D-backs,Yankees,2
D-backs,Rays,1
D-backs,Twins,0
D-backs,Royals,0
D-backs,Marlins,2
D-backs,Nationals,2
D-backs,Padres,10
D-backs,Dodgers,7
Giants,D-backs,13
Giants,Giants,0
Giants,Braves,4
Giants,Mets,4
Giants,Orioles,1
Giants,Blue Jays,1
Giants,Red Sox,1
Giants,Pirates,3
Giants,Cubs,4
Giants,Cardinals,3
Giants,White Sox,0
Giants,Tigers,0
Giants,Reds,3
Giants,Phillies,3
Giants,Indians,0
Giants,Rangers,0
Giants,Rockies,10
Giants,Brewers,5
Giants,Astros,0
Giants,Mariners,0
Giants,Angels,0
Giants,Athletics,1
Giants,Yankees,1
Giants,Rays,3
Giants,Twins,0
Giants,Royals,0
Giants,Marlins,4
Giants,Nationals,3
Giants,Padres,11
Giants,Dodgers,11
Braves,D-backs,2
Braves,Giants,3
Braves,Braves,0
Braves,Mets,10
Braves,Orioles,0
Braves,Blue Jays,0
Braves,Red Sox,1
Braves,Pirates,3
Braves,Cubs,3
Braves,Cardinals,2
Braves,White Sox,2
Braves,Tigers,2
Braves,Reds,3
Braves,Phillies,11
Braves,Indians,0
Braves,Rangers,0
Braves,Rockies,1
Braves,Brewers,2
Braves,Astros,0
Braves,Mariners,0
Braves,Angels,0
Braves,Athletics,0
Braves,Yankees,0
Braves,Rays,0
Braves,Twins,2
Braves,Royals,1
Braves,Marlins,11
Braves,Nationals,4
Braves,Padres,4
Braves,Dodgers,1
Mets,D-backs,1
Mets,Giants,4
Mets,Braves,9
Mets,Mets,0
Mets,Orioles,0
Mets,Blue Jays,0
Mets,Red Sox,0
Mets,Pirates,3
Mets,Cubs,5
Mets,Cardinals,3
Mets,White Sox,1
Mets,Tigers,1
Mets,Reds,6
Mets,Phillies,12
Mets,Indians,2
Mets,Rangers,0
Mets,Rockies,1
Mets,Brewers,5
Mets,Astros,0
Mets,Mariners,0
Mets,Angels,0
Mets,Athletics,0
Mets,Yankees,2
Mets,Rays,0
Mets,Twins,3
Mets,Royals,3
Mets,Marlins,12
Mets,Nationals,7
Mets,Padres,4
Mets,Dodgers,3
Orioles,D-backs,3
Orioles,Giants,2
Orioles,Braves,0
Orioles,Mets,0
Orioles,Orioles,0
Orioles,Blue Jays,9
Orioles,Red Sox,8
Orioles,Pirates,0
Orioles,Cubs,0
Orioles,Cardinals,0
Orioles,White Sox,4
Orioles,Tigers,5
Orioles,Reds,0
Orioles,Phillies,0
Orioles,Indians,5
Orioles,Rangers,3
Orioles,Rockies,1
Orioles,Brewers,0
Orioles,Astros,1
Orioles,Mariners,1
Orioles,Angels,4
