team,opponent,wins,color
Pirates,Athletics,0,7
Pirates,Yankees,2,7
Pirates,Rays,2,7
Pirates,Twins,0,7
Pirates,Royals,0,7
Pirates,Marlins,4,7
Pirates,Nationals,2,7
Pirates,Padres,0,7
Pirates,Dodgers,0,7
Cubs,D-backs,0,8
Cubs,Giants,3,8
Cubs,Braves,0,8
Cubs,Mets,1,8
Cubs,Orioles,0,8
Cubs,Blue Jays,0,8
Cubs,Red Sox,1,8
Cubs,Pirates,5,8
Cubs,Cubs,0,8
Cubs,Cardinals,6,8
Cubs,White Sox,0,8
Cubs,Tigers,0,8
Cubs,Reds,6,8
Cubs,Phillies,3,8
Cubs,Indians,0,8
Cubs,Rangers,0,8
Cubs,Rockies,2,8
Cubs,Brewers,5,8
Cubs,Astros,0,8
Cubs,Mariners,0,8
Cubs,Angels,0,8
Cubs,Athletics,0,8
Cubs,Yankees,0,8
Cubs,Rays,1,8
Cubs,Twins,0,8
Cubs,Royals,0,8
Cubs,Marlins,4,8
Cubs,Nationals,2,8
Cubs,Padres,2,8
Cubs,Dodgers,2,8
Cardinals,D-backs,2,9
Cardinals,Giants,1,9
Cardinals,Braves,3,9
Cardinals,Mets,2,9
Cardinals,Orioles,1,9
Cardinals,Blue Jays,2,9
Cardinals,Red Sox,0,9
Cardinals,Pirates,4,9
Cardinals,Cubs,3,9
Cardinals,Cardinals,0,9
Cardinals,White Sox,0,9
Cardinals,Tigers,0,9
Cardinals,Reds,3,9
Cardinals,Phillies,5,9
Cardinals,Indians,0,9
Cardinals,Rangers,0,9
Cardinals,Rockies,1,9
Cardinals,Brewers,5,9
Cardinals,Astros,0,9
Cardinals,Mariners,0,9
Cardinals,Angels,0,9
Cardinals,Athletics,0,9
Cardinals,Yankees,0,9
Cardinals,Rays,0,9
Cardinals,Twins,0,9
Cardinals,Royals,0,9
Cardinals,Marlins,5,9
Cardinals,Nationals,3,9
Cardinals,Padres,0,9
Cardinals,Dodgers,3,9
White Sox,D-backs,0,10
White Sox,Giants,0,10
White Sox,Braves,0,10
White Sox,Mets,0,10
White Sox,Orioles,3,10
White Sox,Blue Jays,2,10
White Sox,Red Sox,1,10
White Sox,Pirates,0,10
White Sox,Cubs,0,10
White Sox,Cardinals,0,10
White Sox,White Sox,0,10
White Sox,Tigers,6,10
White Sox,Reds,0,10
White Sox,Phillies,0,10
White Sox,Indians,4,10
White Sox,Rangers,2,10
White Sox,Rockies,1,10
White Sox,Brewers,0,10
White Sox,Astros,0,10
White Sox,Mariners,3,10
White Sox,Angels,0,10
White Sox,Athletics,1,10
White Sox,Yankees,3,10
White Sox,Rays,1,10
White Sox,Twins,4,10
White Sox,Royals,5,10
White Sox,Marlins,0,10
White Sox,Nationals,0,10
White Sox,Padres,2,10
White Sox,Dodgers,0,10
Tigers,D-backs,1,11
Tigers,Giants,2,11
Tigers,Braves,0,11
Tigers,Mets,0,11
Tigers,Orioles,2,11
Tigers,Blue Jays,0,11
Tigers,Red Sox,4,11
Tigers,Pirates,0,11
Tigers,Cubs,0,11
Tigers,Cardinals,0,11
Tigers,White Sox,6,11
Tigers,Tigers,0,11
Tigers,Reds,0,11
Tigers,Phillies,0,11
Tigers,Indians,6,11
Tigers,Rangers,1,11
Tigers,Rockies,0,11
Tigers,Brewers,0,11
Tigers,Astros,1,11
Tigers,Mariners,1,11
Tigers,Angels,3,11
Tigers,Athletics,1,11
Tigers,Yankees,0,11
Tigers,Rays,2,11
Tigers,Twins,4,11
Tigers,Royals,4,11
Tigers,Marlins,0,11
Tigers,Nationals,0,11
Tigers,Padres,1,11
Tigers,Dodgers,0,11
Reds,D-backs,2,12
Reds,Giants,4,12
Reds,Braves,1,12
Reds,Mets,0,12
Reds,Orioles,1,12
Reds,Blue Jays,0,12
Reds,Red Sox,0,12
Reds,Pirates,6,12
Reds,Cubs,3,12
Reds,Cardinals,7,12
Reds,White Sox,0,12
Reds,Tigers,0,12
Reds,Reds,0,12
Reds,Phillies,4,12
Reds,Indians,2,12
Reds,Rangers,0,12
Reds,Rockies,3,12
Reds,Brewers,3,12
Reds,Astros,0,12
Reds,Mariners,0,12
Reds,Angels,0,12
Reds,Athletics,0,12
Reds,Yankees,1,12
Reds,Rays,1,12
Reds,Twins,0,12
Reds,Royals,0,12
Reds,Marlins,0,12
Reds,Nationals,1,12
Reds,Padres,0,12
Reds,Dodgers,0,12
Phillies,D-backs,1,13
Phillies,Giants,2,13
Phillies,Braves,5,13
Phillies,Mets,3,13
Phillies,Orioles,0,13
Phillies,Blue Jays,0,13
Phillies,Red Sox,1,13
Phillies,Pirates,2,13
Phillies,Cubs,1,13
Phillies,Cardinals,1,13
Phillies,White Sox,0,13
Phillies,Tigers,0,13
Phillies,Reds,2,13
Phillies,Phillies,0,13
Phillies,Indians,0,13
Phillies,Rangers,0,13
Phillies,Rockies,1,13
Phillies,Brewers,0,13
Phillies,Astros,0,13
Phillies,Mariners,2,13
Phillies,Angels,0,13
Phillies,Athletics,0,13
Phillies,Yankees,0,13
Phillies,Rays,0,13
Phillies,Twins,0,13
Phillies,Royals,0,13
Phillies,Marlins,2,13
Phillies,Nationals,5,13
Phillies,Padres,1,13
Phillies,Dodgers,0,13
Indians,D-backs,0,14
Indians,Giants,0,14
Indians,Braves,0,14
Indians,Mets,0,14
Indians,Orioles,3,14
Indians,Blue Jays,1,14
Indians,Red Sox,0,14
Indians,Pirates,0,14
Indians,Cubs,0,14
Indians,Cardinals,0,14
Indians,White Sox,5,14
Indians,Tigers,6,14
Indians,Reds,1,14
Indians,Phillies,0,14
Indians,Indians,0,14
Indians,Rangers,6,14
Indians,Rockies,0,14
Indians,Brewers,0,14
Indians,Astros,5,14
Indians,Mariners,2,14
Indians,Angels,0,14
Indians,Athletics,3,14
Indians,Yankees,0,14
Indians,Rays,1,14
Indians,Twins,8,14
Indians,Royals,4,14
Indians,Marlins,0,14
Indians,Nationals,0,14
Indians,Padres,1,14
Indians,Dodgers,1,14
Rangers,D-backs,0,15
Rangers,Giants,0,15
Rangers,Braves,0,15
Rangers,Mets,1,15
Rangers,Orioles,0,15
Rangers,Blue Jays,3,15
Rangers,Red Sox,1,15
Rangers,Pirates,0,15
Rangers,Cubs,0,15
Rangers,Cardinals,0,15
Rangers,White Sox,1,15
Rangers,Tigers,2,15
Rangers,Reds,0,15
Rangers,Phillies,3,15
Rangers,Indians,1,15
Rangers,Rangers,0,15
Rangers,Rockies,0,15
Rangers,Brewers,0,15
Rangers,Astros,3,15
Rangers,Mariners,3,15
Rangers,Angels,5,15
Rangers,Athletics,6,15
Rangers,Yankees,2,15
Rangers,Rays,1,15
Rangers,Twins,1,15
Rangers,Royals,4,15
Rangers,Marlins,0,15
Rangers,Nationals,3,15
Rangers,Padres,3,15
Rangers,Dodgers,0,15
Rockies,D-backs,6,16
Rockies,Giants,10,16
Rockies,Braves,0,16
Rockies,Mets,0,16
Rockies,Orioles,0,16
Rockies,Blue Jays,0,16
Rockies,Red Sox,0,16
Rockies,Pirates,1,16
Rockies,Cubs,5,16
Rockies,Cardinals,2,16
Rockies,White Sox,2,16
Rockies,Tigers,0,16
Rockies,Reds,4,16
Rockies,Phillies,3,16
Rockies,Indians,2,16
Rockies,Rangers,0,16
Rockies,Rockies,0,16
Rockies,Brewers,3,16
Rockies,Astros,0,16
Rockies,Mariners,1,16
Rockies,Angels,0,16
Rockies,Athletics,0,16
Rockies,Yankees,0,16
Rockies,Rays,0,16
Rockies,Twins,2,16
Rockies,Royals,0,16
Rockies,Marlins,0,16
Rockies,Nationals,1,16
Rockies,Padres,5,16
Rockies,Dodgers,5,16
Brewers,D-backs,3,17
Brewers,Giants,2,17
Brewers,Braves,2,17
Brewers,Mets,5,17
Brewers,Orioles,3,17
Brewers,Blue Jays,2,17
Brewers,Red Sox,2,17
Brewers,Pirates,3,17
Brewers,Cubs,4,17
Brewers,Cardinals,6,17
Brewers,White Sox,0,17
Brewers,Tigers,0,17
Brewers,Reds,7,17
Brewers,Phillies,0,17
Brewers,Indians,0,17
Brewers,Rangers,0,17
Brewers,Rockies,1,17
Brewers,Brewers,0,17
Brewers,Astros,0,17
Brewers,Mariners,0,17
Brewers,Angels,0,17
Brewers,Athletics,0,17
Brewers,Yankees,2,17
Brewers,Rays,0,17
Brewers,Twins,0,17
Brewers,Royals,0,17
Brewers,Marlins,2,17
Brewers,Nationals,0,17
Brewers,Padres,5,17
Brewers,Dodgers,1,17
Astros,D-backs,0,18
Astros,Giants,0,18
Astros,Braves,4,18
Astros,Mets,0,18
Astros,Orioles,3,18
Astros,Blue Jays,2,18
Astros,Red Sox,1,18
Astros,Pirates,0,18
Astros,Cubs,0,18
Astros,Cardinals,0,18
Astros,White Sox,0,18
Astros,Tigers,3,18
Astros,Reds,0,18
